,,,,All Type of Report (All Grades) for 02-Mar-2021 to 02-Mar-2026,,,
Maharashtra,Cereals,Rice,02-05-2021,97.00,Metric Tonnes,3348.20,Rs./Quintal
Maharashtra,Cereals,Rice,03-05-2021,1350.00,Metric Tonnes,4694.14,Rs./Quintal
Maharashtra,Cereals,Rice,04-05-2021,206.00,Metric Tonnes,3606.17,Rs./Quintal
Maharashtra,Cereals,Rice,05-05-2021,962.00,Metric Tonnes,4512.68,Rs./Quintal
Maharashtra,Cereals,Rice,06-05-2021,293.00,Metric Tonnes,3709.81,Rs./Quintal
Maharashtra,Cereals,Rice,07-05-2021,328.00,Metric Tonnes,3711.00,Rs./Quintal
Maharashtra,Cereals,Rice,08-05-2021,322.00,Metric Tonnes,3617.78,Rs./Quintal
Maharashtra,Cereals,Rice,09-05-2021,49.00,Metric Tonnes,3096.63,Rs./Quintal
Maharashtra,Cereals,Rice,10-05-2021,97.00,Metric Tonnes,3575.71,Rs./Quintal
Maharashtra,Cereals,Rice,11-05-2021,235.00,Metric Tonnes,3541.79,Rs./Quintal
Maharashtra,Cereals,Rice,12-05-2021,206.00,Metric Tonnes,3587.17,Rs./Quintal
Maharashtra,Cereals,Rice,13-05-2021,132.00,Metric Tonnes,3063.39,Rs./Quintal
Maharashtra,Cereals,Rice,14-05-2021,35.00,Metric Tonnes,3615.86,Rs./Quintal
Maharashtra,Cereals,Rice,15-05-2021,172.00,Metric Tonnes,3310.58,Rs./Quintal
Maharashtra,Cereals,Rice,16-05-2021,2.00,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Cereals,Rice,17-05-2021,259.00,Metric Tonnes,3228.82,Rs./Quintal
Maharashtra,Cereals,Rice,18-05-2021,123.00,Metric Tonnes,3094.11,Rs./Quintal
Maharashtra,Cereals,Rice,19-05-2021,215.00,Metric Tonnes,3089.65,Rs./Quintal
Maharashtra,Cereals,Rice,20-05-2021,382.00,Metric Tonnes,5255.63,Rs./Quintal
Maharashtra,Cereals,Rice,21-05-2021,759.00,Metric Tonnes,4511.55,Rs./Quintal
Maharashtra,Cereals,Rice,22-05-2021,192.00,Metric Tonnes,3180.89,Rs./Quintal
Maharashtra,Cereals,Rice,23-05-2021,46.00,Metric Tonnes,3146.96,Rs./Quintal
Maharashtra,Cereals,Rice,24-05-2021,169.00,Metric Tonnes,3150.41,Rs./Quintal
Maharashtra,Cereals,Rice,25-05-2021,188.00,Metric Tonnes,3237.02,Rs./Quintal
Maharashtra,Cereals,Rice,26-05-2021,128.00,Metric Tonnes,2989.06,Rs./Quintal
Maharashtra,Cereals,Rice,27-05-2021,167.00,Metric Tonnes,3093.14,Rs./Quintal
Maharashtra,Cereals,Rice,28-05-2021,150.00,Metric Tonnes,3079.60,Rs./Quintal
