,,,,All Type of Report (All Grades) for 02-Mar-2021 to 02-Mar-2026,,,
Maharashtra,Cereals,Rice,29-11-2021,209.00,Metric Tonnes,3938.23,Rs./Quintal
Maharashtra,Cereals,Rice,30-11-2021,196.00,Metric Tonnes,3854.67,Rs./Quintal
Maharashtra,Cereals,Rice,01-12-2021,333.00,Metric Tonnes,3560.92,Rs./Quintal
Maharashtra,Cereals,Rice,02-12-2021,244.00,Metric Tonnes,3637.16,Rs./Quintal
Maharashtra,Cereals,Rice,03-12-2021,242.00,Metric Tonnes,3771.16,Rs./Quintal
Maharashtra,Cereals,Rice,04-12-2021,207.00,Metric Tonnes,3806.81,Rs./Quintal
Maharashtra,Cereals,Rice,05-12-2021,29.00,Metric Tonnes,4817.97,Rs./Quintal
Maharashtra,Cereals,Rice,06-12-2021,2769.00,Metric Tonnes,4427.98,Rs./Quintal
Maharashtra,Cereals,Rice,07-12-2021,243.00,Metric Tonnes,3863.85,Rs./Quintal
Maharashtra,Cereals,Rice,08-12-2021,236.00,Metric Tonnes,3172.65,Rs./Quintal
Maharashtra,Cereals,Rice,09-12-2021,298.00,Metric Tonnes,3716.41,Rs./Quintal
Maharashtra,Cereals,Rice,10-12-2021,296.00,Metric Tonnes,3162.77,Rs./Quintal
Maharashtra,Cereals,Rice,11-12-2021,319.00,Metric Tonnes,3742.48,Rs./Quintal
Maharashtra,Cereals,Rice,12-12-2021,32.00,Metric Tonnes,3217.84,Rs./Quintal
Maharashtra,Cereals,Rice,13-12-2021,336.00,Metric Tonnes,3707.67,Rs./Quintal
Maharashtra,Cereals,Rice,14-12-2021,243.00,Metric Tonnes,3669.14,Rs./Quintal
Maharashtra,Cereals,Rice,15-12-2021,304.00,Metric Tonnes,3528.94,Rs./Quintal
Maharashtra,Cereals,Rice,16-12-2021,246.00,Metric Tonnes,3710.20,Rs./Quintal
Maharashtra,Cereals,Rice,17-12-2021,404.00,Metric Tonnes,3509.85,Rs./Quintal
Maharashtra,Cereals,Rice,18-12-2021,239.00,Metric Tonnes,3850.21,Rs./Quintal
Maharashtra,Cereals,Rice,19-12-2021,71.00,Metric Tonnes,4160.56,Rs./Quintal
Maharashtra,Cereals,Rice,20-12-2021,343.00,Metric Tonnes,3266.34,Rs./Quintal
Maharashtra,Cereals,Rice,21-12-2021,2595.00,Metric Tonnes,4463.41,Rs./Quintal
Maharashtra,Cereals,Rice,22-12-2021,282.00,Metric Tonnes,3449.17,Rs./Quintal
Maharashtra,Cereals,Rice,23-12-2021,244.00,Metric Tonnes,3644.90,Rs./Quintal
Maharashtra,Cereals,Rice,24-12-2021,132.00,Metric Tonnes,4546.34,Rs./Quintal
Maharashtra,Cereals,Rice,25-12-2021,106.00,Metric Tonnes,3602.22,Rs./Quintal
Maharashtra,Cereals,Rice,26-12-2021,61.00,Metric Tonnes,2826.23,Rs./Quintal
Maharashtra,Cereals,Rice,27-12-2021,378.00,Metric Tonnes,3498.86,Rs./Quintal
Maharashtra,Cereals,Rice,28-12-2021,225.00,Metric Tonnes,3505.67,Rs./Quintal
Maharashtra,Cereals,Rice,29-12-2021,286.00,Metric Tonnes,3916.22,Rs./Quintal
Maharashtra,Cereals,Rice,30-12-2021,385.00,Metric Tonnes,3708.67,Rs./Quintal
Maharashtra,Cereals,Rice,31-12-2021,267.00,Metric Tonnes,3808.09,Rs./Quintal
Maharashtra,Cereals,Rice,01-01-2022,1933.00,Metric Tonnes,4241.03,Rs./Quintal
Maharashtra,Cereals,Rice,02-01-2022,41.00,Metric Tonnes,3497.80,Rs./Quintal
Maharashtra,Cereals,Rice,03-01-2022,271.00,Metric Tonnes,3752.45,Rs./Quintal
Maharashtra,Cereals,Rice,04-01-2022,235.00,Metric Tonnes,3711.43,Rs./Quintal
Maharashtra,Cereals,Rice,05-01-2022,263.00,Metric Tonnes,3638.61,Rs./Quintal
Maharashtra,Cereals,Rice,06-01-2022,161.00,Metric Tonnes,4059.01,Rs./Quintal
Maharashtra,Cereals,Rice,07-01-2022,292.00,Metric Tonnes,3790.41,Rs./Quintal
Maharashtra,Cereals,Rice,08-01-2022,274.00,Metric Tonnes,3605.62,Rs./Quintal
Maharashtra,Cereals,Rice,09-01-2022,47.00,Metric Tonnes,3778.96,Rs./Quintal
Maharashtra,Cereals,Rice,10-01-2022,270.00,Metric Tonnes,3723.24,Rs./Quintal
Maharashtra,Cereals,Rice,11-01-2022,288.00,Metric Tonnes,3897.96,Rs./Quintal
Maharashtra,Cereals,Rice,12-01-2022,232.00,Metric Tonnes,3608.83,Rs./Quintal
Maharashtra,Cereals,Rice,13-01-2022,27.00,Metric Tonnes,3840.74,Rs./Quintal
Maharashtra,Cereals,Rice,14-01-2022,152.00,Metric Tonnes,3861.64,Rs./Quintal
Maharashtra,Cereals,Rice,15-01-2022,1487.00,Metric Tonnes,4258.83,Rs./Quintal
Maharashtra,Cereals,Rice,16-01-2022,42.00,Metric Tonnes,3593.60,Rs./Quintal
Maharashtra,Cereals,Rice,17-01-2022,261.00,Metric Tonnes,3781.90,Rs./Quintal
Maharashtra,Cereals,Rice,18-01-2022,231.00,Metric Tonnes,3761.47,Rs./Quintal
Maharashtra,Cereals,Rice,19-01-2022,241.00,Metric Tonnes,3818.26,Rs./Quintal
Maharashtra,Cereals,Rice,20-01-2022,433.00,Metric Tonnes,3643.84,Rs./Quintal
Maharashtra,Cereals,Rice,21-01-2022,221.00,Metric Tonnes,3417.29,Rs./Quintal
Maharashtra,Cereals,Rice,22-01-2022,322.00,Metric Tonnes,3919.57,Rs./Quintal
Maharashtra,Cereals,Rice,23-01-2022,44.00,Metric Tonnes,4319.34,Rs./Quintal
Maharashtra,Cereals,Rice,24-01-2022,240.00,Metric Tonnes,3780.59,Rs./Quintal
Maharashtra,Cereals,Rice,25-01-2022,247.00,Metric Tonnes,4020.87,Rs./Quintal
Maharashtra,Cereals,Rice,26-01-2022,68.00,Metric Tonnes,3167.65,Rs./Quintal
Maharashtra,Cereals,Rice,27-01-2022,2646.00,Metric Tonnes,4302.59,Rs./Quintal
Maharashtra,Cereals,Rice,28-01-2022,271.00,Metric Tonnes,3813.21,Rs./Quintal
Maharashtra,Cereals,Rice,29-01-2022,297.00,Metric Tonnes,3807.37,Rs./Quintal
Maharashtra,Cereals,Rice,30-01-2022,51.00,Metric Tonnes,4294.12,Rs./Quintal
Maharashtra,Cereals,Rice,31-01-2022,229.00,Metric Tonnes,3676.21,Rs./Quintal
Maharashtra,Cereals,Rice,01-02-2022,297.00,Metric Tonnes,3822.78,Rs./Quintal
Maharashtra,Cereals,Rice,02-02-2022,330.00,Metric Tonnes,3699.68,Rs./Quintal
Maharashtra,Cereals,Rice,03-02-2022,325.00,Metric Tonnes,3742.12,Rs./Quintal
Maharashtra,Cereals,Rice,04-02-2022,259.00,Metric Tonnes,3803.74,Rs./Quintal
Maharashtra,Cereals,Rice,05-02-2022,1817.00,Metric Tonnes,4527.85,Rs./Quintal
Maharashtra,Cereals,Rice,06-02-2022,58.00,Metric Tonnes,3845.71,Rs./Quintal
Maharashtra,Cereals,Rice,07-02-2022,75.00,Metric Tonnes,3430.41,Rs./Quintal
Maharashtra,Cereals,Rice,08-02-2022,273.00,Metric Tonnes,3769.26,Rs./Quintal
Maharashtra,Cereals,Rice,09-02-2022,284.00,Metric Tonnes,3997.56,Rs./Quintal
Maharashtra,Cereals,Rice,10-02-2022,315.00,Metric Tonnes,3735.29,Rs./Quintal
Maharashtra,Cereals,Rice,11-02-2022,177.00,Metric Tonnes,3871.53,Rs./Quintal
Maharashtra,Cereals,Rice,12-02-2022,282.00,Metric Tonnes,3828.44,Rs./Quintal
Maharashtra,Cereals,Rice,13-02-2022,65.00,Metric Tonnes,3960.94,Rs./Quintal
Maharashtra,Cereals,Rice,14-02-2022,223.00,Metric Tonnes,3526.73,Rs./Quintal
Maharashtra,Cereals,Rice,15-02-2022,273.00,Metric Tonnes,3662.01,Rs./Quintal
Maharashtra,Cereals,Rice,16-02-2022,239.00,Metric Tonnes,3448.95,Rs./Quintal
Maharashtra,Cereals,Rice,17-02-2022,293.00,Metric Tonnes,3431.64,Rs./Quintal
Maharashtra,Cereals,Rice,18-02-2022,1625.00,Metric Tonnes,4452.62,Rs./Quintal
Maharashtra,Cereals,Rice,19-02-2022,68.00,Metric Tonnes,3641.91,Rs./Quintal
Maharashtra,Cereals,Rice,20-02-2022,24.00,Metric Tonnes,4629.63,Rs./Quintal
Maharashtra,Cereals,Rice,21-02-2022,282.00,Metric Tonnes,3681.58,Rs./Quintal
Maharashtra,Cereals,Rice,22-02-2022,354.00,Metric Tonnes,3914.10,Rs./Quintal
Maharashtra,Cereals,Rice,23-02-2022,285.00,Metric Tonnes,3784.79,Rs./Quintal
Maharashtra,Cereals,Rice,24-02-2022,267.00,Metric Tonnes,3681.42,Rs./Quintal
Maharashtra,Cereals,Rice,25-02-2022,226.00,Metric Tonnes,3943.47,Rs./Quintal
Maharashtra,Cereals,Rice,26-02-2022,270.00,Metric Tonnes,3908.51,Rs./Quintal
Maharashtra,Cereals,Rice,27-02-2022,13.00,Metric Tonnes,4607.69,Rs./Quintal
Maharashtra,Cereals,Rice,28-02-2022,1983.00,Metric Tonnes,4517.22,Rs./Quintal
Maharashtra,Cereals,Rice,01-03-2022,30.00,Metric Tonnes,3698.33,Rs./Quintal
Maharashtra,Cereals,Rice,02-03-2022,422.00,Metric Tonnes,3974.06,Rs./Quintal
Maharashtra,Cereals,Rice,03-03-2022,285.00,Metric Tonnes,3752.67,Rs./Quintal
Maharashtra,Cereals,Rice,04-03-2022,1799.00,Metric Tonnes,4777.92,Rs./Quintal
Maharashtra,Cereals,Rice,05-03-2022,421.00,Metric Tonnes,3904.13,Rs./Quintal
Maharashtra,Cereals,Rice,06-03-2022,25.00,Metric Tonnes,4400.00,Rs./Quintal
Maharashtra,Cereals,Rice,07-03-2022,329.00,Metric Tonnes,3374.18,Rs./Quintal
Maharashtra,Cereals,Rice,08-03-2022,320.00,Metric Tonnes,3670.82,Rs./Quintal
Maharashtra,Cereals,Rice,09-03-2022,236.00,Metric Tonnes,3781.49,Rs./Quintal
Maharashtra,Cereals,Rice,10-03-2022,260.00,Metric Tonnes,3872.00,Rs./Quintal
Maharashtra,Cereals,Rice,11-03-2022,243.00,Metric Tonnes,3694.98,Rs./Quintal
Maharashtra,Cereals,Rice,12-03-2022,354.00,Metric Tonnes,3711.60,Rs./Quintal
Maharashtra,Cereals,Rice,13-03-2022,27.00,Metric Tonnes,4035.85,Rs./Quintal
Maharashtra,Cereals,Rice,14-03-2022,310.00,Metric Tonnes,3830.29,Rs./Quintal
Maharashtra,Cereals,Rice,15-03-2022,2156.00,Metric Tonnes,4801.44,Rs./Quintal
Maharashtra,Cereals,Rice,16-03-2022,411.00,Metric Tonnes,3561.45,Rs./Quintal
Maharashtra,Cereals,Rice,17-03-2022,269.00,Metric Tonnes,3780.58,Rs./Quintal
Maharashtra,Cereals,Rice,18-03-2022,18.00,Metric Tonnes,3355.56,Rs./Quintal
Maharashtra,Cereals,Rice,19-03-2022,282.00,Metric Tonnes,3734.61,Rs./Quintal
Maharashtra,Cereals,Rice,20-03-2022,29.00,Metric Tonnes,4167.59,Rs./Quintal
Maharashtra,Cereals,Rice,21-03-2022,354.00,Metric Tonnes,3884.48,Rs./Quintal
Maharashtra,Cereals,Rice,22-03-2022,194.00,Metric Tonnes,3044.18,Rs./Quintal
Maharashtra,Cereals,Rice,23-03-2022,278.00,Metric Tonnes,3859.58,Rs./Quintal
Maharashtra,Cereals,Rice,24-03-2022,368.00,Metric Tonnes,3674.20,Rs./Quintal
Maharashtra,Cereals,Rice,25-03-2022,331.00,Metric Tonnes,3924.34,Rs./Quintal
Maharashtra,Cereals,Rice,26-03-2022,299.00,Metric Tonnes,3780.05,Rs./Quintal
Maharashtra,Cereals,Rice,27-03-2022,168.00,Metric Tonnes,2229.02,Rs./Quintal
Maharashtra,Cereals,Rice,28-03-2022,476.00,Metric Tonnes,3287.96,Rs./Quintal
Maharashtra,Cereals,Rice,29-03-2022,319.00,Metric Tonnes,3541.54,Rs./Quintal
Maharashtra,Cereals,Rice,30-03-2022,1895.00,Metric Tonnes,4451.27,Rs./Quintal
Maharashtra,Cereals,Rice,31-03-2022,1643.00,Metric Tonnes,3827.20,Rs./Quintal
Maharashtra,Cereals,Rice,01-04-2022,275.00,Metric Tonnes,3551.75,Rs./Quintal
Maharashtra,Cereals,Rice,02-04-2022,29.00,Metric Tonnes,3817.93,Rs./Quintal
Maharashtra,Cereals,Rice,03-04-2022,18.00,Metric Tonnes,4222.22,Rs./Quintal
Maharashtra,Cereals,Rice,04-04-2022,385.00,Metric Tonnes,4027.94,Rs./Quintal
Maharashtra,Cereals,Rice,05-04-2022,281.00,Metric Tonnes,3769.13,Rs./Quintal
Maharashtra,Cereals,Rice,06-04-2022,347.00,Metric Tonnes,4091.96,Rs./Quintal
Maharashtra,Cereals,Rice,07-04-2022,2054.00,Metric Tonnes,3535.75,Rs./Quintal
Maharashtra,Cereals,Rice,08-04-2022,320.00,Metric Tonnes,3984.69,Rs./Quintal
Maharashtra,Cereals,Rice,09-04-2022,295.00,Metric Tonnes,3821.88,Rs./Quintal
Maharashtra,Cereals,Rice,10-04-2022,14.00,Metric Tonnes,3393.14,Rs./Quintal
Maharashtra,Cereals,Rice,11-04-2022,372.00,Metric Tonnes,4012.07,Rs./Quintal
Maharashtra,Cereals,Rice,12-04-2022,284.00,Metric Tonnes,3827.00,Rs./Quintal
Maharashtra,Cereals,Rice,13-04-2022,302.00,Metric Tonnes,3981.61,Rs./Quintal
Maharashtra,Cereals,Rice,14-04-2022,27.00,Metric Tonnes,3908.52,Rs./Quintal
Maharashtra,Cereals,Rice,15-04-2022,161.00,Metric Tonnes,3592.17,Rs./Quintal
Maharashtra,Cereals,Rice,16-04-2022,279.00,Metric Tonnes,3716.13,Rs./Quintal
Maharashtra,Cereals,Rice,17-04-2022,13.00,Metric Tonnes,3913.46,Rs./Quintal
Maharashtra,Cereals,Rice,18-04-2022,328.00,Metric Tonnes,3917.29,Rs./Quintal
Maharashtra,Cereals,Rice,19-04-2022,318.00,Metric Tonnes,3915.19,Rs./Quintal
Maharashtra,Cereals,Rice,20-04-2022,262.00,Metric Tonnes,4060.21,Rs./Quintal
Maharashtra,Cereals,Rice,21-04-2022,325.00,Metric Tonnes,3803.28,Rs./Quintal
Maharashtra,Cereals,Rice,22-04-2022,310.00,Metric Tonnes,3939.12,Rs./Quintal
Maharashtra,Cereals,Rice,23-04-2022,222.00,Metric Tonnes,3764.06,Rs./Quintal
Maharashtra,Cereals,Rice,24-04-2022,28.00,Metric Tonnes,4200.00,Rs./Quintal
Maharashtra,Cereals,Rice,25-04-2022,343.00,Metric Tonnes,3830.93,Rs./Quintal
Maharashtra,Cereals,Rice,26-04-2022,247.00,Metric Tonnes,3716.64,Rs./Quintal
Maharashtra,Cereals,Rice,27-04-2022,260.00,Metric Tonnes,3686.43,Rs./Quintal
Maharashtra,Cereals,Rice,28-04-2022,209.00,Metric Tonnes,3577.08,Rs./Quintal
Maharashtra,Cereals,Rice,29-04-2022,281.00,Metric Tonnes,4077.85,Rs./Quintal
Maharashtra,Cereals,Rice,30-04-2022,286.00,Metric Tonnes,3909.85,Rs./Quintal
Maharashtra,Cereals,Rice,01-05-2022,29.00,Metric Tonnes,4445.17,Rs./Quintal
Maharashtra,Cereals,Rice,02-05-2022,204.00,Metric Tonnes,3746.47,Rs./Quintal
Maharashtra,Cereals,Rice,03-05-2022,18.00,Metric Tonnes,3744.44,Rs./Quintal
Maharashtra,Cereals,Rice,04-05-2022,247.00,Metric Tonnes,3770.92,Rs./Quintal
Maharashtra,Cereals,Rice,05-05-2022,229.00,Metric Tonnes,3929.78,Rs./Quintal
Maharashtra,Cereals,Rice,06-05-2022,177.00,Metric Tonnes,3737.26,Rs./Quintal
Maharashtra,Cereals,Rice,07-05-2022,150.00,Metric Tonnes,4607.67,Rs./Quintal
Maharashtra,Cereals,Rice,08-05-2022,61.00,Metric Tonnes,4608.82,Rs./Quintal
Maharashtra,Cereals,Rice,09-05-2022,273.00,Metric Tonnes,3808.18,Rs./Quintal
Maharashtra,Cereals,Rice,10-05-2022,266.00,Metric Tonnes,3656.05,Rs./Quintal
Maharashtra,Cereals,Rice,11-05-2022,215.00,Metric Tonnes,3541.79,Rs./Quintal
Maharashtra,Cereals,Rice,12-05-2022,168.00,Metric Tonnes,3874.29,Rs./Quintal
Maharashtra,Cereals,Rice,13-05-2022,70.00,Metric Tonnes,4106.43,Rs./Quintal
Maharashtra,Cereals,Rice,14-05-2022,269.00,Metric Tonnes,3578.75,Rs./Quintal
Maharashtra,Cereals,Rice,15-05-2022,69.00,Metric Tonnes,3886.96,Rs./Quintal
Maharashtra,Cereals,Rice,16-05-2022,221.00,Metric Tonnes,3026.65,Rs./Quintal
Maharashtra,Cereals,Rice,17-05-2022,301.00,Metric Tonnes,3152.59,Rs./Quintal
Maharashtra,Cereals,Rice,18-05-2022,370.00,Metric Tonnes,3600.28,Rs./Quintal
Maharashtra,Cereals,Rice,19-05-2022,256.00,Metric Tonnes,3305.84,Rs./Quintal
Maharashtra,Cereals,Rice,20-05-2022,237.00,Metric Tonnes,3534.64,Rs./Quintal
Maharashtra,Cereals,Rice,21-05-2022,1467.00,Metric Tonnes,4921.29,Rs./Quintal
Maharashtra,Cereals,Rice,22-05-2022,22.00,Metric Tonnes,3437.82,Rs./Quintal
Maharashtra,Cereals,Rice,23-05-2022,327.00,Metric Tonnes,3739.86,Rs./Quintal
Maharashtra,Cereals,Rice,24-05-2022,245.00,Metric Tonnes,3754.27,Rs./Quintal
Maharashtra,Cereals,Rice,25-05-2022,319.00,Metric Tonnes,3611.15,Rs./Quintal
Maharashtra,Cereals,Rice,26-05-2022,385.00,Metric Tonnes,3663.50,Rs./Quintal
Maharashtra,Cereals,Rice,27-05-2022,243.00,Metric Tonnes,3622.35,Rs./Quintal
Maharashtra,Cereals,Rice,28-05-2022,383.00,Metric Tonnes,3649.48,Rs./Quintal
Maharashtra,Cereals,Rice,29-05-2022,49.00,Metric Tonnes,3332.90,Rs./Quintal
Maharashtra,Cereals,Rice,30-05-2022,163.00,Metric Tonnes,3793.59,Rs./Quintal
Maharashtra,Cereals,Rice,31-05-2022,2039.00,Metric Tonnes,5042.75,Rs./Quintal
Maharashtra,Cereals,Rice,01-06-2022,204.00,Metric Tonnes,4017.21,Rs./Quintal
Maharashtra,Cereals,Rice,02-06-2022,307.00,Metric Tonnes,3923.88,Rs./Quintal
Maharashtra,Cereals,Rice,03-06-2022,37.00,Metric Tonnes,3454.59,Rs./Quintal
Maharashtra,Cereals,Rice,04-06-2022,236.00,Metric Tonnes,3900.74,Rs./Quintal
Maharashtra,Cereals,Rice,05-06-2022,15.00,Metric Tonnes,4106.67,Rs./Quintal
Maharashtra,Cereals,Rice,06-06-2022,45.00,Metric Tonnes,4222.22,Rs./Quintal
Maharashtra,Cereals,Rice,07-06-2022,275.00,Metric Tonnes,3613.22,Rs./Quintal
Maharashtra,Cereals,Rice,08-06-2022,374.00,Metric Tonnes,3411.10,Rs./Quintal
Maharashtra,Cereals,Rice,09-06-2022,337.00,Metric Tonnes,3678.43,Rs./Quintal
Maharashtra,Cereals,Rice,10-06-2022,241.00,Metric Tonnes,3740.91,Rs./Quintal
Maharashtra,Cereals,Rice,11-06-2022,312.00,Metric Tonnes,3844.21,Rs./Quintal
Maharashtra,Cereals,Rice,12-06-2022,16.00,Metric Tonnes,3641.38,Rs./Quintal
Maharashtra,Cereals,Rice,13-06-2022,381.00,Metric Tonnes,3627.76,Rs./Quintal
Maharashtra,Cereals,Rice,14-06-2022,229.00,Metric Tonnes,4084.87,Rs./Quintal
Maharashtra,Cereals,Rice,15-06-2022,298.00,Metric Tonnes,3915.74,Rs./Quintal
Maharashtra,Cereals,Rice,16-06-2022,91.00,Metric Tonnes,4185.71,Rs./Quintal
Maharashtra,Cereals,Rice,17-06-2022,224.00,Metric Tonnes,3804.61,Rs./Quintal
Maharashtra,Cereals,Rice,18-06-2022,273.00,Metric Tonnes,3708.86,Rs./Quintal
Maharashtra,Cereals,Rice,19-06-2022,23.00,Metric Tonnes,4783.04,Rs./Quintal
Maharashtra,Cereals,Rice,20-06-2022,262.00,Metric Tonnes,3716.11,Rs./Quintal
Maharashtra,Cereals,Rice,21-06-2022,270.00,Metric Tonnes,3717.14,Rs./Quintal
Maharashtra,Cereals,Rice,22-06-2022,364.00,Metric Tonnes,3270.80,Rs./Quintal
Maharashtra,Cereals,Rice,23-06-2022,283.00,Metric Tonnes,3744.57,Rs./Quintal
Maharashtra,Cereals,Rice,24-06-2022,254.00,Metric Tonnes,3585.06,Rs./Quintal
Maharashtra,Cereals,Rice,25-06-2022,339.00,Metric Tonnes,3632.32,Rs./Quintal
Maharashtra,Cereals,Rice,26-06-2022,42.00,Metric Tonnes,4409.81,Rs./Quintal
Maharashtra,Cereals,Rice,27-06-2022,337.00,Metric Tonnes,3172.06,Rs./Quintal
Maharashtra,Cereals,Rice,28-06-2022,298.00,Metric Tonnes,3554.60,Rs./Quintal
Maharashtra,Cereals,Rice,29-06-2022,545.00,Metric Tonnes,3621.81,Rs./Quintal
Maharashtra,Cereals,Rice,30-06-2022,309.00,Metric Tonnes,3555.97,Rs./Quintal
Maharashtra,Cereals,Rice,01-07-2022,1320.00,Metric Tonnes,4625.28,Rs./Quintal
Maharashtra,Cereals,Rice,02-07-2022,87.00,Metric Tonnes,3866.67,Rs./Quintal
Maharashtra,Cereals,Rice,03-07-2022,165.00,Metric Tonnes,2728.48,Rs./Quintal
Maharashtra,Cereals,Rice,04-07-2022,420.00,Metric Tonnes,3180.22,Rs./Quintal
Maharashtra,Cereals,Rice,05-07-2022,413.00,Metric Tonnes,3213.10,Rs./Quintal
Maharashtra,Cereals,Rice,06-07-2022,450.00,Metric Tonnes,3147.56,Rs./Quintal
Maharashtra,Cereals,Rice,07-07-2022,294.00,Metric Tonnes,3715.92,Rs./Quintal
Maharashtra,Cereals,Rice,08-07-2022,540.00,Metric Tonnes,3501.27,Rs./Quintal
Maharashtra,Cereals,Rice,09-07-2022,236.00,Metric Tonnes,4000.11,Rs./Quintal
Maharashtra,Cereals,Rice,10-07-2022,51.00,Metric Tonnes,3925.67,Rs./Quintal
Maharashtra,Cereals,Rice,11-07-2022,247.00,Metric Tonnes,3720.88,Rs./Quintal
Maharashtra,Cereals,Rice,12-07-2022,1818.00,Metric Tonnes,4784.66,Rs./Quintal
Maharashtra,Cereals,Rice,13-07-2022,238.00,Metric Tonnes,3738.99,Rs./Quintal
Maharashtra,Cereals,Rice,14-07-2022,269.00,Metric Tonnes,3853.81,Rs./Quintal
Maharashtra,Cereals,Rice,15-07-2022,220.00,Metric Tonnes,3876.37,Rs./Quintal
Maharashtra,Cereals,Rice,16-07-2022,93.00,Metric Tonnes,3502.88,Rs./Quintal
Maharashtra,Cereals,Rice,17-07-2022,81.00,Metric Tonnes,4195.15,Rs./Quintal
Maharashtra,Cereals,Rice,18-07-2022,311.00,Metric Tonnes,3654.79,Rs./Quintal
Maharashtra,Cereals,Rice,19-07-2022,499.00,Metric Tonnes,3119.01,Rs./Quintal
Maharashtra,Cereals,Rice,20-07-2022,351.00,Metric Tonnes,3545.30,Rs./Quintal
Maharashtra,Cereals,Rice,21-07-2022,427.00,Metric Tonnes,3263.70,Rs./Quintal
Maharashtra,Cereals,Rice,22-07-2022,1068.00,Metric Tonnes,4322.46,Rs./Quintal
Maharashtra,Cereals,Rice,23-07-2022,393.00,Metric Tonnes,3319.33,Rs./Quintal
Maharashtra,Cereals,Rice,24-07-2022,44.00,Metric Tonnes,3615.91,Rs./Quintal
Maharashtra,Cereals,Rice,25-07-2022,296.00,Metric Tonnes,3124.49,Rs./Quintal
Maharashtra,Cereals,Rice,26-07-2022,401.00,Metric Tonnes,3219.65,Rs./Quintal
Maharashtra,Cereals,Rice,27-07-2022,324.00,Metric Tonnes,3464.21,Rs./Quintal
Maharashtra,Cereals,Rice,28-07-2022,827.00,Metric Tonnes,3420.63,Rs./Quintal
Maharashtra,Cereals,Rice,29-07-2022,794.00,Metric Tonnes,4548.60,Rs./Quintal
Maharashtra,Cereals,Rice,30-07-2022,349.00,Metric Tonnes,3295.07,Rs./Quintal
Maharashtra,Cereals,Rice,31-07-2022,55.00,Metric Tonnes,3496.18,Rs./Quintal
Maharashtra,Cereals,Rice,01-08-2022,167.00,Metric Tonnes,3093.14,Rs./Quintal
Maharashtra,Cereals,Rice,02-08-2022,327.00,Metric Tonnes,3395.70,Rs./Quintal
Maharashtra,Cereals,Rice,03-08-2022,1037.00,Metric Tonnes,3491.76,Rs./Quintal
Maharashtra,Cereals,Rice,04-08-2022,331.00,Metric Tonnes,3663.21,Rs./Quintal
Maharashtra,Cereals,Rice,05-08-2022,182.00,Metric Tonnes,3205.41,Rs./Quintal
Maharashtra,Cereals,Rice,06-08-2022,389.00,Metric Tonnes,3511.63,Rs./Quintal
Maharashtra,Cereals,Rice,07-08-2022,45.00,Metric Tonnes,4027.31,Rs./Quintal
Maharashtra,Cereals,Rice,08-08-2022,2282.00,Metric Tonnes,4627.40,Rs./Quintal
Maharashtra,Cereals,Rice,09-08-2022,77.00,Metric Tonnes,4131.26,Rs./Quintal
Maharashtra,Cereals,Rice,10-08-2022,319.00,Metric Tonnes,3316.79,Rs./Quintal
Maharashtra,Cereals,Rice,11-08-2022,369.00,Metric Tonnes,3265.37,Rs./Quintal
Maharashtra,Cereals,Rice,12-08-2022,305.00,Metric Tonnes,3292.95,Rs./Quintal
Maharashtra,Cereals,Rice,13-08-2022,354.00,Metric Tonnes,3428.08,Rs./Quintal
Maharashtra,Cereals,Rice,14-08-2022,11.00,Metric Tonnes,3717.73,Rs./Quintal
Maharashtra,Cereals,Rice,15-08-2022,19.00,Metric Tonnes,3759.21,Rs./Quintal
Maharashtra,Cereals,Rice,16-08-2022,380.00,Metric Tonnes,3390.57,Rs./Quintal
Maharashtra,Cereals,Rice,17-08-2022,278.00,Metric Tonnes,3222.86,Rs./Quintal
Maharashtra,Cereals,Rice,18-08-2022,346.00,Metric Tonnes,3207.47,Rs./Quintal
Maharashtra,Cereals,Rice,19-08-2022,310.00,Metric Tonnes,3211.66,Rs./Quintal
Maharashtra,Cereals,Rice,20-08-2022,349.00,Metric Tonnes,3443.74,Rs./Quintal
Maharashtra,Cereals,Rice,21-08-2022,87.00,Metric Tonnes,4171.60,Rs./Quintal
Maharashtra,Cereals,Rice,22-08-2022,274.00,Metric Tonnes,3262.70,Rs./Quintal
Maharashtra,Cereals,Rice,23-08-2022,376.00,Metric Tonnes,3193.06,Rs./Quintal
Maharashtra,Cereals,Rice,24-08-2022,354.00,Metric Tonnes,3575.38,Rs./Quintal
Maharashtra,Cereals,Rice,25-08-2022,287.00,Metric Tonnes,3372.93,Rs./Quintal
Maharashtra,Cereals,Rice,26-08-2022,262.00,Metric Tonnes,4025.36,Rs./Quintal
Maharashtra,Cereals,Rice,27-08-2022,195.00,Metric Tonnes,3997.38,Rs./Quintal
Maharashtra,Cereals,Rice,28-08-2022,21.00,Metric Tonnes,5000.52,Rs./Quintal
Maharashtra,Cereals,Rice,29-08-2022,260.00,Metric Tonnes,3388.56,Rs./Quintal
Maharashtra,Cereals,Rice,30-08-2022,324.00,Metric Tonnes,3380.11,Rs./Quintal
Maharashtra,Cereals,Rice,31-08-2022,3.00,Metric Tonnes,2833.33,Rs./Quintal
Maharashtra,Cereals,Rice,01-09-2022,110.00,Metric Tonnes,2451.82,Rs./Quintal
Maharashtra,Cereals,Rice,02-09-2022,64.00,Metric Tonnes,2490.94,Rs./Quintal
