,,,,All Type of Report (All Grades) for 02-Mar-2021 to 02-Mar-2026,,,
Maharashtra,Vegetables,Onion,03-05-2021,35943.00,Metric Tonnes,1015.83,Rs./Quintal
Maharashtra,Vegetables,Onion,04-05-2021,33710.00,Metric Tonnes,998.61,Rs./Quintal
Maharashtra,Vegetables,Onion,05-05-2021,35423.00,Metric Tonnes,983.51,Rs./Quintal
Maharashtra,Vegetables,Onion,06-05-2021,29616.00,Metric Tonnes,1006.54,Rs./Quintal
Maharashtra,Vegetables,Onion,07-05-2021,24828.00,Metric Tonnes,1008.44,Rs./Quintal
Maharashtra,Vegetables,Onion,08-05-2021,9551.00,Metric Tonnes,1066.70,Rs./Quintal
Maharashtra,Vegetables,Onion,09-05-2021,3577.00,Metric Tonnes,1028.98,Rs./Quintal
Maharashtra,Vegetables,Onion,10-05-2021,27612.00,Metric Tonnes,1048.63,Rs./Quintal
Maharashtra,Vegetables,Onion,11-05-2021,23627.00,Metric Tonnes,1093.75,Rs./Quintal
Maharashtra,Vegetables,Onion,12-05-2021,12003.00,Metric Tonnes,1073.13,Rs./Quintal
Maharashtra,Vegetables,Onion,13-05-2021,6957.00,Metric Tonnes,1029.55,Rs./Quintal
Maharashtra,Vegetables,Onion,14-05-2021,3173.00,Metric Tonnes,931.80,Rs./Quintal
Maharashtra,Vegetables,Onion,15-05-2021,3795.00,Metric Tonnes,1051.49,Rs./Quintal
Maharashtra,Vegetables,Onion,16-05-2021,2379.00,Metric Tonnes,1072.47,Rs./Quintal
Maharashtra,Vegetables,Onion,17-05-2021,9448.00,Metric Tonnes,899.17,Rs./Quintal
Maharashtra,Vegetables,Onion,18-05-2021,6868.00,Metric Tonnes,942.57,Rs./Quintal
Maharashtra,Vegetables,Onion,19-05-2021,5551.00,Metric Tonnes,971.70,Rs./Quintal
Maharashtra,Vegetables,Onion,20-05-2021,6950.00,Metric Tonnes,978.19,Rs./Quintal
Maharashtra,Vegetables,Onion,21-05-2021,7021.00,Metric Tonnes,985.29,Rs./Quintal
Maharashtra,Vegetables,Onion,22-05-2021,3844.00,Metric Tonnes,1102.58,Rs./Quintal
Maharashtra,Vegetables,Onion,23-05-2021,3466.00,Metric Tonnes,1161.51,Rs./Quintal
Maharashtra,Vegetables,Onion,24-05-2021,19772.00,Metric Tonnes,1248.73,Rs./Quintal
Maharashtra,Vegetables,Onion,25-05-2021,25062.00,Metric Tonnes,1291.96,Rs./Quintal
Maharashtra,Vegetables,Onion,26-05-2021,24788.00,Metric Tonnes,1390.07,Rs./Quintal
Maharashtra,Vegetables,Onion,27-05-2021,25483.00,Metric Tonnes,1410.14,Rs./Quintal
Maharashtra,Vegetables,Onion,28-05-2021,27007.00,Metric Tonnes,1447.81,Rs./Quintal
Maharashtra,Vegetables,Onion,29-05-2021,12724.00,Metric Tonnes,1453.32,Rs./Quintal
Maharashtra,Vegetables,Onion,30-05-2021,2513.00,Metric Tonnes,1286.28,Rs./Quintal
Maharashtra,Vegetables,Onion,31-05-2021,29667.00,Metric Tonnes,1581.45,Rs./Quintal
Maharashtra,Vegetables,Onion,01-06-2021,26921.00,Metric Tonnes,1597.66,Rs./Quintal
Maharashtra,Vegetables,Onion,02-06-2021,29779.00,Metric Tonnes,1636.70,Rs./Quintal
Maharashtra,Vegetables,Onion,03-06-2021,31502.00,Metric Tonnes,1635.72,Rs./Quintal
Maharashtra,Vegetables,Onion,04-06-2021,32014.00,Metric Tonnes,1651.00,Rs./Quintal
Maharashtra,Vegetables,Onion,05-06-2021,16537.00,Metric Tonnes,1549.35,Rs./Quintal
Maharashtra,Vegetables,Onion,06-06-2021,4177.00,Metric Tonnes,1544.40,Rs./Quintal
Maharashtra,Vegetables,Onion,07-06-2021,21052.00,Metric Tonnes,1596.84,Rs./Quintal
Maharashtra,Vegetables,Onion,08-06-2021,38661.00,Metric Tonnes,1590.50,Rs./Quintal
Maharashtra,Vegetables,Onion,09-06-2021,27401.00,Metric Tonnes,1657.34,Rs./Quintal
Maharashtra,Vegetables,Onion,10-06-2021,26368.00,Metric Tonnes,1647.27,Rs./Quintal
Maharashtra,Vegetables,Onion,11-06-2021,31500.00,Metric Tonnes,1644.04,Rs./Quintal
Maharashtra,Vegetables,Onion,12-06-2021,17897.00,Metric Tonnes,1681.08,Rs./Quintal
Maharashtra,Vegetables,Onion,13-06-2021,6078.00,Metric Tonnes,1447.80,Rs./Quintal
Maharashtra,Vegetables,Onion,14-06-2021,34368.00,Metric Tonnes,1625.60,Rs./Quintal
Maharashtra,Vegetables,Onion,15-06-2021,24033.00,Metric Tonnes,1636.38,Rs./Quintal
Maharashtra,Vegetables,Onion,16-06-2021,27274.00,Metric Tonnes,1666.06,Rs./Quintal
Maharashtra,Vegetables,Onion,17-06-2021,31638.00,Metric Tonnes,1718.24,Rs./Quintal
Maharashtra,Vegetables,Onion,18-06-2021,30428.00,Metric Tonnes,1707.97,Rs./Quintal
Maharashtra,Vegetables,Onion,19-06-2021,20517.00,Metric Tonnes,1648.30,Rs./Quintal
Maharashtra,Vegetables,Onion,20-06-2021,6377.00,Metric Tonnes,1569.70,Rs./Quintal
Maharashtra,Vegetables,Onion,21-06-2021,35626.00,Metric Tonnes,1707.78,Rs./Quintal
Maharashtra,Vegetables,Onion,22-06-2021,28706.00,Metric Tonnes,1722.87,Rs./Quintal
Maharashtra,Vegetables,Onion,23-06-2021,31727.00,Metric Tonnes,1709.19,Rs./Quintal
Maharashtra,Vegetables,Onion,24-06-2021,30919.00,Metric Tonnes,1648.31,Rs./Quintal
Maharashtra,Vegetables,Onion,25-06-2021,22192.00,Metric Tonnes,1619.22,Rs./Quintal
Maharashtra,Vegetables,Onion,26-06-2021,14986.00,Metric Tonnes,1607.42,Rs./Quintal
Maharashtra,Vegetables,Onion,27-06-2021,10075.00,Metric Tonnes,1446.35,Rs./Quintal
Maharashtra,Vegetables,Onion,28-06-2021,27920.00,Metric Tonnes,1602.87,Rs./Quintal
Maharashtra,Vegetables,Onion,29-06-2021,22898.00,Metric Tonnes,1561.84,Rs./Quintal
Maharashtra,Vegetables,Onion,30-06-2021,22734.00,Metric Tonnes,1633.07,Rs./Quintal
Maharashtra,Vegetables,Onion,01-07-2021,20094.00,Metric Tonnes,1605.88,Rs./Quintal
Maharashtra,Vegetables,Onion,02-07-2021,21660.00,Metric Tonnes,1558.56,Rs./Quintal
Maharashtra,Vegetables,Onion,03-07-2021,9599.00,Metric Tonnes,1638.65,Rs./Quintal
Maharashtra,Vegetables,Onion,04-07-2021,4307.00,Metric Tonnes,1508.43,Rs./Quintal
Maharashtra,Vegetables,Onion,05-07-2021,26809.00,Metric Tonnes,1645.19,Rs./Quintal
Maharashtra,Vegetables,Onion,06-07-2021,30179.00,Metric Tonnes,1589.80,Rs./Quintal
Maharashtra,Vegetables,Onion,07-07-2021,25384.00,Metric Tonnes,1624.24,Rs./Quintal
Maharashtra,Vegetables,Onion,08-07-2021,34052.00,Metric Tonnes,1621.49,Rs./Quintal
Maharashtra,Vegetables,Onion,09-07-2021,22712.00,Metric Tonnes,1501.64,Rs./Quintal
Maharashtra,Vegetables,Onion,10-07-2021,15027.00,Metric Tonnes,1584.50,Rs./Quintal
Maharashtra,Vegetables,Onion,11-07-2021,5239.00,Metric Tonnes,1377.56,Rs./Quintal
Maharashtra,Vegetables,Onion,12-07-2021,33496.00,Metric Tonnes,1574.68,Rs./Quintal
Maharashtra,Vegetables,Onion,13-07-2021,28524.00,Metric Tonnes,1449.65,Rs./Quintal
Maharashtra,Vegetables,Onion,14-07-2021,19882.00,Metric Tonnes,1458.13,Rs./Quintal
Maharashtra,Vegetables,Onion,15-07-2021,27247.00,Metric Tonnes,1469.56,Rs./Quintal
Maharashtra,Vegetables,Onion,16-07-2021,22995.00,Metric Tonnes,1376.40,Rs./Quintal
Maharashtra,Vegetables,Onion,17-07-2021,13766.00,Metric Tonnes,1473.08,Rs./Quintal
Maharashtra,Vegetables,Onion,18-07-2021,4375.00,Metric Tonnes,1352.87,Rs./Quintal
Maharashtra,Vegetables,Onion,19-07-2021,27498.00,Metric Tonnes,1516.47,Rs./Quintal
Maharashtra,Vegetables,Onion,20-07-2021,12084.00,Metric Tonnes,1516.45,Rs./Quintal
Maharashtra,Vegetables,Onion,21-07-2021,12357.00,Metric Tonnes,1459.89,Rs./Quintal
Maharashtra,Vegetables,Onion,22-07-2021,25923.00,Metric Tonnes,1540.57,Rs./Quintal
Maharashtra,Vegetables,Onion,23-07-2021,26289.00,Metric Tonnes,1522.20,Rs./Quintal
Maharashtra,Vegetables,Onion,24-07-2021,21121.00,Metric Tonnes,1618.54,Rs./Quintal
Maharashtra,Vegetables,Onion,25-07-2021,5384.00,Metric Tonnes,1478.63,Rs./Quintal
Maharashtra,Vegetables,Onion,26-07-2021,33822.00,Metric Tonnes,1647.39,Rs./Quintal
Maharashtra,Vegetables,Onion,27-07-2021,23891.00,Metric Tonnes,1613.53,Rs./Quintal
Maharashtra,Vegetables,Onion,28-07-2021,25795.00,Metric Tonnes,1633.30,Rs./Quintal
Maharashtra,Vegetables,Onion,29-07-2021,27567.00,Metric Tonnes,1653.85,Rs./Quintal
Maharashtra,Vegetables,Onion,30-07-2021,23335.00,Metric Tonnes,1516.36,Rs./Quintal
Maharashtra,Vegetables,Onion,31-07-2021,18474.00,Metric Tonnes,1586.07,Rs./Quintal
Maharashtra,Vegetables,Onion,01-08-2021,6196.00,Metric Tonnes,1358.03,Rs./Quintal
Maharashtra,Vegetables,Onion,02-08-2021,33804.00,Metric Tonnes,1511.01,Rs./Quintal
Maharashtra,Vegetables,Onion,03-08-2021,21980.00,Metric Tonnes,1451.78,Rs./Quintal
Maharashtra,Vegetables,Onion,04-08-2021,19577.00,Metric Tonnes,1510.49,Rs./Quintal
Maharashtra,Vegetables,Onion,05-08-2021,14567.00,Metric Tonnes,1540.49,Rs./Quintal
Maharashtra,Vegetables,Onion,06-08-2021,26917.00,Metric Tonnes,1446.21,Rs./Quintal
Maharashtra,Vegetables,Onion,07-08-2021,18669.00,Metric Tonnes,1510.25,Rs./Quintal
Maharashtra,Vegetables,Onion,08-08-2021,5214.00,Metric Tonnes,1266.51,Rs./Quintal
Maharashtra,Vegetables,Onion,09-08-2021,27987.00,Metric Tonnes,1502.30,Rs./Quintal
Maharashtra,Vegetables,Onion,10-08-2021,18482.00,Metric Tonnes,1466.82,Rs./Quintal
Maharashtra,Vegetables,Onion,11-08-2021,19761.00,Metric Tonnes,1545.34,Rs./Quintal
Maharashtra,Vegetables,Onion,12-08-2021,19417.00,Metric Tonnes,1550.88,Rs./Quintal
Maharashtra,Vegetables,Onion,13-08-2021,17403.00,Metric Tonnes,1472.12,Rs./Quintal
Maharashtra,Vegetables,Onion,14-08-2021,9685.00,Metric Tonnes,1543.27,Rs./Quintal
Maharashtra,Vegetables,Onion,15-08-2021,4691.00,Metric Tonnes,1368.30,Rs./Quintal
Maharashtra,Vegetables,Onion,16-08-2021,20398.00,Metric Tonnes,1564.63,Rs./Quintal
Maharashtra,Vegetables,Onion,17-08-2021,21387.00,Metric Tonnes,1517.65,Rs./Quintal
Maharashtra,Vegetables,Onion,18-08-2021,21518.00,Metric Tonnes,1611.54,Rs./Quintal
Maharashtra,Vegetables,Onion,19-08-2021,10500.00,Metric Tonnes,1544.93,Rs./Quintal
Maharashtra,Vegetables,Onion,20-08-2021,19543.00,Metric Tonnes,1419.69,Rs./Quintal
Maharashtra,Vegetables,Onion,21-08-2021,20851.00,Metric Tonnes,1512.52,Rs./Quintal
Maharashtra,Vegetables,Onion,22-08-2021,4503.00,Metric Tonnes,1259.80,Rs./Quintal
Maharashtra,Vegetables,Onion,23-08-2021,28247.00,Metric Tonnes,1511.69,Rs./Quintal
Maharashtra,Vegetables,Onion,24-08-2021,25911.00,Metric Tonnes,1488.67,Rs./Quintal
Maharashtra,Vegetables,Onion,25-08-2021,28399.00,Metric Tonnes,1469.79,Rs./Quintal
Maharashtra,Vegetables,Onion,26-08-2021,33544.00,Metric Tonnes,1390.66,Rs./Quintal
Maharashtra,Vegetables,Onion,27-08-2021,25850.00,Metric Tonnes,1306.79,Rs./Quintal
Maharashtra,Vegetables,Onion,28-08-2021,20171.00,Metric Tonnes,1375.94,Rs./Quintal
Maharashtra,Vegetables,Onion,29-08-2021,7417.00,Metric Tonnes,1127.75,Rs./Quintal
